DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h),Log (Decay Rate) (mV/h)
10.1039/C3TA01458D,USA,Univ Pittsburgh,JOURNAL OF MATERIALS CHEMISTRY A,14.511,3/27/2013,56,3586,0.015616286,MDP_1_Sn,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_10_20,MDP3PP_0_5,MDP4PP_0,HTEMP_RT,HTIME_0_60,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_400_500,ATIME_180_360,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.3_0.6,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,0.564666064
10.1002/adma.201908126,Peoples R China,Xiamen Univ,ADVANCED MATERIALS,32.086,5/27/2020,74,968,0.076446281,MDP_1_Ni,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_30_40,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_360_720,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_200_300,ATIME_60_120,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._True,CL_1_5,SL_1_5,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,0.301029996
10.1002/cssc.201601817,Germany,Max Planck Gesell,CHEMSUSCHEM,9.14,5/9/2017,49,2082,0.023535062,MDP_1_Sn,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_30_40,MDP3PP_0_5,MDP4PP_0,HTEMP_250_300,HTIME_60_180,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_RT,ATIME_0,Annealing Still,Annealing Atomosphere Inert_True,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.1_0.2,SL_0.2_0.5,Support is not Carbon_True,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_10_25,0.096910013
10.1002/cssc.201601817,Germany,Max Planck Gesell,CHEMSUSCHEM,9.14,5/9/2017,49,2082,0.023535062,MDP_1_Sn,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_30_40,MDP3PP_0_5,MDP4PP_0,HTEMP_250_300,HTIME_60_180,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_RT,ATIME_0,Annealing Still,Annealing Atomosphere Inert_True,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.05_0.1,SL_0.1_0.2,Support is not Carbon_True,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_10_25,0.222716471
10.1016/j.apcatb.2021.120442,Peoples R China,Harbin Inst Technol,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/2/2021,50,475,0.105263158,MDP_1_Co,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_25_50,MDP2PP_40_51,MDP3PP_0_5,MDP4PP_0,HTEMP_150_200,HTIME_360_720,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_120_180,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_1_5,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,0.737192643
10.1016/j.jallcom.2021.162113,Peoples R China,Qufu Normal Univ,JOURNAL OF ALLOYS AND COMPOUNDS,6.371,10/21/2021,4,456,0.00877193,MDP_1_Cu,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_20_30,MDP3PP_0,MDP4PP_0,HTEMP_150_200,HTIME_720_1440,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_180_360,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.6_1,SL_0,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_10_25,0.432969291
10.1016/j.matchar.2021.111201,Peoples R China,Shenzhen Univ,MATERIALS CHARACTERIZATION,4.537,6/21/2021,6,578,0.010380623,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_50_100,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_500_600,ATIME_120_180,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.6_1,SL_0,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_10_25,-0.017728767
10.1039/D1TA07789A,Peoples R China,Zhejiang Univ Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,1/15/2022,9,370,0.024324324,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_25_50,MDP2PP_40_51,MDP3PP_0_5,MDP4PP_0,HTEMP_150_200,HTIME_60_180,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_RT,ATIME_0,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.3_0.6,SL_0,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_10_25,0.336459734
10.1038/s41467-019-11789-3,Peoples R China,Univ Sci & Technol China,NATURE COMMUNICATIONS,17.694,9/6/2019,91,1232,0.073863636,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_30_40,MDP3PP_0_5,MDP4PP_0,HTEMP_RT,HTIME_360_720,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_True,ATEMP_1000_1200,ATIME_OVER1440,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_10_25,0.096910013
10.1039/D1TA07293E,India,Indian Inst Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/4/2021,10,412,0.024271845,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_100_150,HTIME_0_60,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_600_800,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,-3.92
10.1039/D1TA07293E,India,Indian Inst Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/4/2021,10,412,0.024271845,MDP_1_Co,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_100_150,HTIME_0_60,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_600_800,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,0.781036939
10.1039/D1TA07293E,India,Indian Inst Technol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/4/2021,10,412,0.024271845,MDP_1_Mn,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_100_150,HTIME_0_60,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_600_800,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.1_0.2,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,-0.420216403
10.1039/D1TA00325A,Italy,Ist Italiano Tecnol,JOURNAL OF MATERIALS CHEMISTRY A,14.511,5/1/2021,4,629,0.0063593,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_0_60,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_60_120,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.1_0.2,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,0.017033339
10.1021/acsnano.1c00266,Peoples R China,Hong Kong Polytech Univ,ACS NANO,18.027,6/19/2021,21,580,0.036206897,MDP_1_Sr,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_10_20,MDP3PP_0_5,MDP4PP_0,HTEMP_RT,HTIME_60_180,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_1000_1200,ATIME_0_60,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0.2_0.5,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_10_25,0.598790507
10.1021/acsnano.1c00266,Peoples R China,Hong Kong Polytech Univ,ACS NANO,18.027,6/19/2021,21,580,0.036206897,MDP_1_Sr,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_10_20,MDP3PP_0_5,MDP4PP_0,HTEMP_RT,HTIME_60_180,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_1000_1200,ATIME_0_60,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0.2_0.5,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_10_25,0.5132176
10.1021/acsnano.1c00266,Peoples R China,Hong Kong Polytech Univ,ACS NANO,18.027,6/19/2021,21,580,0.036206897,MDP_1_Sr,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_20_30,MDP3PP_0_5,MDP4PP_0,HTEMP_RT,HTIME_60_180,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_1000_1200,ATIME_0_60,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0.2_0.5,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_10_25,0.711807229
10.1021/acsnano.1c00266,Peoples R China,Hong Kong Polytech Univ,ACS NANO,18.027,6/19/2021,21,580,0.036206897,MDP_1_Sr,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_20_30,MDP3PP_0_5,MDP4PP_0,HTEMP_RT,HTIME_60_180,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_1000_1200,ATIME_0_60,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0.2_0.5,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_10_25,0.506505032
10.1021/acsnano.1c00266,Peoples R China,Hong Kong Polytech Univ,ACS NANO,18.027,6/19/2021,21,580,0.036206897,MDP_1_Sr,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_30_40,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_60_180,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_1000_1200,ATIME_0_60,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0.2_0.5,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_10_25,0.769377326
10.1021/acsaem.8b00691,USA,Univ Illinois,ACS APPLIED ENERGY MATERIALS,6.959,3/1/2019,36,1421,0.025334272,MDP_1_Y,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_50_100,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_1000_1200,ATIME_720_1440,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.1_0.2,SL_0.1_0.2,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_10_25,-2.46
10.1039/C8NH00520F,South Korea,Korea Univ,NANOSCALE HORIZONS,11.684,7/1/2019,34,1299,0.02617398,MDP_1_Ni,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_20_30,MDP3PP_0_5,MDP4PP_0_5,HTEMP_250_300,HTIME_0_60,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_RT,ATIME_0,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0_0.05,SL_0_0.1,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_10_25,0.469822016
10.1039/C8NH00520F,South Korea,Korea Univ,NANOSCALE HORIZONS,11.684,7/1/2019,34,1299,0.02617398,MDP_1_Ir,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_25_50,MDP2PP_20_30,MDP3PP_0_5,MDP4PP_0_5,HTEMP_250_300,HTIME_0_60,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_RT,ATIME_0,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0_0.05,SL_0_0.1,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_10_25,0.460897843
10.1002/ange.201814075,France,F-75231 Paris 05,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.823,4/10/2019,106,1381,0.076755974,MDP_1_Sr,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_20_30,MDP3PP_0_5,MDP4PP_0,HTEMP_RT,HTIME_360_720,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_True,ATEMP_1000_1200,ATIME_OVER1440,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0_0.1,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_10_25,0.23299611
10.1039/C8NH00520F,South Korea,Korea Univ,NANOSCALE HORIZONS,11.684,7/1/2019,34,1299,0.02617398,MDP_1_Ni,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_20_30,MDP3PP_0_5,MDP4PP_0,HTEMP_250_300,HTIME_0_60,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_RT,ATIME_0,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0_0.05,SL_0_0.1,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_10_25,0.712649702
10.1002/cssc.201601864,Germany,Max Planck Gesell,CHEMSUSCHEM,9.14,5/9/2017,30,2082,0.014409222,MDP_1_Ir,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_250_300,HTIME_60_180,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_RT,ATIME_0,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0_0.05,SL_0,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_10_25,0.176091259
10.1002/adma.202110103,Australia,Univ New South Wales,ADVANCED MATERIALS,32.086,4/29/2022,30,266,0.112781955,MDP_1_Zr,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_0_10,MDP3PP_0_5,MDP4PP_0,HTEMP_100_150,HTIME_1440_2880,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_800_1000,ATIME_180_360,Annealing Still,Annealing Atomosphere Inert_True,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0_0.05,SL_0.2_0.5,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_10_25,0.947433722
10.1038/s41467-022-31874-4,Peoples R China,Hohai Univ,NATURE COMMUNICATIONS,17.694,7/25/2022,5,179,0.027932961,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_50_100,HTIME_360_720,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_1000_1200,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.6_1,SL_0,Support is not Carbon_False,Carbon Paper,EPC_0.1_1,SCD_10_50,STT_10_25,0.831869774
10.1038/s41467-022-31874-4,Peoples R China,Hohai Univ,NATURE COMMUNICATIONS,17.694,7/25/2022,5,179,0.027932961,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_50_100,HTIME_360_720,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_1000_1200,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.6_1,SL_0,Support is not Carbon_False,Carbon Paper,EPC_0.1_1,SCD_10_50,STT_10_25,0.403120521
10.1016/j.nanoen.2019.05.034,Peoples R China,Southwest Univ,NANO ENERGY,19.069,7/24/2019,96,1276,0.07523511,MDP_1_Ir,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_60_180,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_600_800,ATIME_180_360,Annealing Still,Annealing Atomosphere Inert_True,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0_0.05,SL_0.2_0.5,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_10_25,0.06069784
10.1039/D0TA02496A,Peoples R China,Jilin Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,6/11/2020,53,953,0.055613851,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_30_40,MDP3PP_0,MDP4PP_0,HTEMP_200_250,HTIME_360_720,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_800_1000,ATIME_180_360,Annealing Still,Annealing Atomosphere Inert_True,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.05_0.1,SL_0.5_1,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_10_25,0.389166084
10.1007/s12274-022-4081-4,Peoples R China,Soochow Univ,NANO RESEARCH,10.269,2/11/2022,1,343,0.002915452,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_10_20,MDP3PP_0_5,MDP4PP_0,HTEMP_200_250,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_180_360,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._True,CL_0.05_0.1,SL_0.2_0.5,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_10_25,0.491361694
10.1016/j.joule.2021.05.018,Peoples R China,Chinese Acad Sci,JOULE,46.048,8/29/2021,48,509,0.094302554,MDP_1_Mn,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_OVER2880,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_200_300,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_1_5,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,0.361727836
10.1016/j.joule.2021.05.018,Peoples R China,Chinese Acad Sci,JOULE,46.048,8/29/2021,48,509,0.094302554,MDP_1_Mn,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_OVER2880,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_200_300,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_1_5,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,0.397940009
10.1016/j.joule.2021.05.018,Peoples R China,Chinese Acad Sci,JOULE,46.048,8/29/2021,48,509,0.094302554,MDP_1_Mn,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_30_40,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_OVER2880,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_200_300,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_1_5,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,0.380211242
10.1039/D1QM00551K,Peoples R China,Univ Sci & Technol China,MATERIALS CHEMISTRY FRONTIERS,8.683,7/12/2021,5,557,0.008976661,MDP_1_W,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_0_10,MDP3PP_0,MDP4PP_0,HTEMP_150_200,HTIME_720_1440,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_600_800,ATIME_0_60,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_1_5,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,0.421603927
10.1002/cssc.202102114,Germany,Max Planck Inst Kohlenforsch,CHEMSUSCHEM,9.14,12/24/2021,2,392,0.005102041,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_0_60,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_600_800,ATIME_0_60,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_1_5,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_10_25,0
